Graph1,Graph2,Isomorphic
1,2,Yes
1,3,Yes
1,4,No
1,5,Yes
1,6,Yes
1,7,Yes
1,8,No
1,9,No
1,10,Yes
1,11,No
1,12,No
1,13,Yes
1,14,No
1,15,Yes
1,16,No
1,17,Yes
1,18,No
1,19,No
1,20,No
1,21,Yes
1,22,No
1,23,Yes
1,24,No
2,3,Yes
2,4,No
2,5,Yes
2,6,Yes
2,7,Yes
2,8,No
2,9,No
2,10,Yes
2,11,No
2,12,No
2,13,Yes
2,14,No
2,15,Yes
2,16,No
2,17,Yes
2,18,No
2,19,No
2,20,No
2,21,Yes
2,22,No
2,23,Yes
2,24,No
3,4,No
3,5,Yes
3,6,Yes
3,7,Yes
3,8,No
3,9,No
3,10,Yes
3,11,No
3,12,No
3,13,Yes
3,14,No
3,15,Yes
3,16,No
3,17,Yes
3,18,No
3,19,No
3,20,No
3,21,Yes
3,22,No
3,23,Yes
3,24,No
4,5,No
4,6,No
4,7,No
4,8,Yes
4,9,Yes
4,10,No
4,11,Yes
4,12,Yes
4,13,No
4,14,Yes
4,15,No
4,16,Yes
4,17,No
4,18,Yes
4,19,Yes
4,20,Yes
4,21,No
4,22,Yes
4,23,No
4,24,Yes
5,6,Yes
5,7,Yes
5,8,No
5,9,No
5,10,Yes
5,11,No
5,12,No
5,13,Yes
5,14,No
5,15,Yes
5,16,No
5,17,Yes
5,18,No
5,19,No
5,20,No
5,21,Yes
5,22,No
5,23,Yes
5,24,No
6,7,Yes
6,8,No
6,9,No
6,10,Yes
6,11,No
6,12,No
6,13,Yes
6,14,No
6,15,Yes
6,16,No
6,17,Yes
6,18,No
6,19,No
6,20,No
6,21,Yes
6,22,No
6,23,Yes
6,24,No
7,8,No
7,9,No
7,10,Yes
7,11,No
7,12,No
7,13,Yes
7,14,No
7,15,Yes
7,16,No
7,17,Yes
7,18,No
7,19,No
7,20,No
7,21,Yes
7,22,No
7,23,Yes
7,24,No
8,9,Yes
8,10,No
8,11,Yes
8,12,Yes
8,13,No
8,14,Yes
8,15,No
8,16,Yes
8,17,No
8,18,Yes
8,19,Yes
8,20,Yes
8,21,No
8,22,Yes
8,23,No
8,24,Yes
9,10,No
9,11,Yes
9,12,Yes
9,13,No
9,14,Yes
9,15,No
9,16,Yes
9,17,No
9,18,Yes
9,19,Yes
9,20,Yes
9,21,No
9,22,Yes
9,23,No
9,24,Yes
10,11,No
10,12,No
10,13,Yes
10,14,No
10,15,Yes
10,16,No
10,17,Yes
10,18,No
10,19,No
10,20,No
10,21,Yes
10,22,No
10,23,Yes
10,24,No
11,12,Yes
11,13,No
11,14,Yes
11,15,No
11,16,Yes
11,17,No
11,18,Yes
11,19,Yes
11,20,Yes
11,21,No
11,22,Yes
11,23,No
11,24,Yes
12,13,No
12,14,Yes
12,15,No
12,16,Yes
12,17,No
12,18,Yes
12,19,Yes
12,20,Yes
12,21,No
12,22,Yes
12,23,No
12,24,Yes
13,14,No
13,15,Yes
13,16,No
13,17,Yes
13,18,No
13,19,No
13,20,No
13,21,Yes
13,22,No
13,23,Yes
13,24,No
14,15,No
14,16,Yes
14,17,No
14,18,Yes
14,19,Yes
14,20,Yes
14,21,No
14,22,Yes
14,23,No
14,24,Yes
15,16,No
15,17,Yes
15,18,No
15,19,No
15,20,No
15,21,Yes
15,22,No
15,23,Yes
15,24,No
16,17,No
16,18,Yes
16,19,Yes
16,20,Yes
16,21,No
16,22,Yes
16,23,No
16,24,Yes
17,18,No
17,19,No
17,20,No
17,21,Yes
17,22,No
17,23,Yes
17,24,No
18,19,Yes
18,20,Yes
18,21,No
18,22,Yes
18,23,No
18,24,Yes
19,20,Yes
19,21,No
19,22,Yes
19,23,No
19,24,Yes
20,21,No
20,22,Yes
20,23,No
20,24,Yes
21,22,No
21,23,Yes
21,24,No
22,23,No
22,24,Yes
23,24,No
